2,201
cgpa,iq
5.32,88
8.98,118
5.03,87
8.92,118
8.41,98
7.91,93
8.46,98
6.14,111
8.96,116
5.2,89
5.45,110
8.6,117
4.87,88
8.33,92
5.14,83
8.43,96
8.14,94
8.31,95
8.29,95
8,96
7.89,96
4.86,86
8.45,119
6.05,109
8.75,113
5.71,108
5.91,109
6.01,112
7.84,97
8.23,91
8.36,93
8.27,97
8.12,96
8.94,115
5.85,112
8.4,93
4.95,88
8.82,117
5.67,109
5.74,108
5.01,83
5.13,88
8.78,117
5.74,112
8.86,117
4.86,88
9.3,117
6.05,108
8.94,117
8.21,94
8.56,118
4.89,85
9.23,114
8.25,95
5.88,109
4.85,86
5.01,86
5.31,86
8.57,118
8.76,117
8.58,118
5.77,111
8.9,117
8.95,116
5.44,84
6.33,111
5.86,111
8.18,94
6.02,104
6.24,108
8.67,95
8.23,95
5.05,87
5.81,112
8.34,96
9,117
8.97,117
8.97,116
8.71,116
8.53,93
8.44,94
8.91,115
8.81,115
5.21,87
8.08,98
4.98,91
4.79,88
8.72,119
9.18,119
8.65,95
8.08,94
5.57,113
6.17,110
5.87,109
4.98,87
6.05,111
8.25,96
4.9,85
6.23,108
8.26,91
4.78,87
4.67,86
8.79,96
7.47,98
5.91,108
4.68,89
4.78,85
8.79,116
6.4,108
9.03,118
8.88,115
7.97,96
9.07,117
4.95,86
5.94,109
9.13,118
8.91,119
6.38,107
6.1,110
5.15,88
7.9,100
4.99,88
6.01,107
5,88
5.84,113
8.35,93
5.28,83
8.8,115
9.06,120
8.91,117
5.85,111
8.68,119
7.93,94
5.43,106
8.78,116
4.77,86
4.86,87
7.87,91
8.14,91
8.97,119
5.74,109
4.76,89
5.97,108
8.91,117
5.47,111
4.68,87
7.78,92
5.2,85
9.03,118
5.8,108
5.32,106
6.1,109
8.86,117
5.88,110
4.81,85
5.9,113
6.06,109
4.91,85
5.34,85
5.15,85
4.78,87
8.04,94
7.99,92
8.83,118
8.86,118
5.69,109
5.05,86
8.09,94
4.97,88
4.96,89
8.02,93
8.4,93
8.2,92
5.67,111
6.04,110
7.77,96
5.87,108
4.98,87
5.8,110
4.89,88
8.16,97
5.01,86
8.61,95
7.93,98
4.96,88
8.3,93
8.54,118
8.77,117
8.93,118
8.72,92
5.5,111
5.79,110
9.01,121
4.88,86
8.81,116
5.55,109
8.89,118
6.61,111
4.76,90
4.6,86
